iter	Passed	Remaining
0	63	6297
1	84	4117
2	122	3949
3	194	465944	259	4922
5	275	4316	6	309	4117	77	391	45008	388	3929	99	467	4211110	509	4121111	531	3891212	567	3791113	592	3611114	626	3511515	673	3531616	702	3431117	749	341118	733	3128119	778	3115220	831	3126221	855	3031222	915	306423	929	2942
224	987	296325	1041	2963
226	1115	3016227	1145	2945
28	1176	2880
29	1193	2785330	1239	2759331	1270	2699332	1306	2652
33	1338	2597
34	1398	2597
35	1426	2535
36	1454	2477
37	1489	2430
38	1509	2361
39	1548	2322
40	1569	2259
41	1587	2192
42	1618	2145
43	1639	2087
44	1663	2032
45	1679	1971446	1727	1947
47	1753	1900
48	1782	1854449	1815	1815
50	1840	1768
51	1872	1728
52	1921	1703
53	1940	1652
54	1964	1607
55	1998	1570
56	2018	1522
57	2039	1476
58	2071	1439
59	2098	1398
60	2114	1352
61	2145	1314
62	2173	1276
63	2208	1242
64	2238	1205
65	2253	1160
66	2267	1116
67	2289	1077
68	2302	1034
69	2337	1001
70	2371	968
71	2392	930
72	2434	900
73	2472	868
74	2506	835
75	2519	795
76	2556	763
77	2570	725
78	2591	688
79	2608	652
80	2628	616
81	2642	580
82	2690	551
83	2708	515
84	2724	480
85	2763	449
86	2780	415
87	2821	384
88	2840	351
89	2851	316
90	2926	289
91	2959	257
92	2974	223
93	2988	190
94	3015	158
95	3026	126
96	3038	93
97	3070	62
98	3081	31
99	3094	0
