iter	RMSE
0	0.4456204628
1	0.4311593929
2	0.4192058791
3	0.4094638956
4	0.399450147
5	0.3915717019
6	0.3850921538
7	0.3794983536
8	0.3728070157
9	0.3663658044
10	0.3608117445
11	0.3564113969
12	0.3515775406
13	0.3466799929
14	0.3432440951
15	0.3401095355
16	0.3368826633
17	0.333954429
18	0.3321356652
19	0.329807463
20	0.3279361562
21	0.3264677519
22	0.3249159268
23	0.3226590438
24	0.3197363567
25	0.3185032198
26	0.3164331537
27	0.3143483978
28	0.3136081212
29	0.3122161307
30	0.3112626042
31	0.3100327351
32	0.3090900807
33	0.3075676503
34	0.3061543129
35	0.3053110197
36	0.3045406674
37	0.3038601432
38	0.3020436884
39	0.300873665
40	0.2997806144
41	0.2992496336
42	0.2980958132
43	0.2975346756
44	0.297139081
45	0.2962663374
46	0.2955620512
47	0.2949601855
48	0.2944773718
49	0.293818809
50	0.2932321165
51	0.2928908095
52	0.2919848019
53	0.2917238785
54	0.2914903966
55	0.2907794793
56	0.2903451187
57	0.2898840793
58	0.2893272393
59	0.2879417216
60	0.2875813187
61	0.2868882959
62	0.286102562
63	0.2857816211
64	0.2856425364
65	0.2852276998
66	0.284652306
67	0.2840056415
68	0.2833871899
69	0.2832561573
70	0.2828951322
71	0.2824908363
72	0.2822040915
73	0.2819676948
74	0.2817522418
75	0.281333122
76	0.2806141007
77	0.2804494544
78	0.2803171594
79	0.2799140434
80	0.2796160407
81	0.2794143485
82	0.2791189039
83	0.2787137131
84	0.2784262195
85	0.2782503624
86	0.2777916722
87	0.2775101422
88	0.2772579084
89	0.2769062041
90	0.276597377
91	0.2762319645
92	0.2760640631
93	0.2758802257
94	0.2757123266
95	0.2754906443
96	0.2752960044
97	0.2750895039
98	0.2748979602
99	0.2746954824
