iter	Passed	Remaining
0	13	1296
1	20	1006
2	25	813
3	29	707
4	33	638
5	38	597
6	42	565
7	46	538
8	50	515
9	55	497
10	60	488
11	65	477
12	69	463
13	73	451
14	77	438
15	81	428
16	86	420
17	90	411
18	94	402
19	98	395
20	102	386
21	107	380
22	111	371
23	115	364
24	119	358
25	123	351
26	127	345
27	132	339
28	135	332
29	139	326
30	143	319
31	147	313
32	151	306
33	155	301
34	159	295
35	163	290
36	167	284
37	170	278
38	175	273
39	179	268
40	183	263
41	187	258
42	191	253
43	194	248
44	198	242
45	202	238
46	206	233
47	210	228
48	214	223
49	218	218
50	222	213
51	226	209
52	231	205
53	235	200
54	239	196
55	243	191
56	247	186
57	252	183
58	257	178
59	261	174
60	265	169
61	269	165
62	277	162
63	280	157
64	284	153
65	289	149
66	294	144
67	298	140
68	302	136
69	306	131
70	310	126
71	314	122
72	318	117
73	322	113
74	327	109
75	331	104
76	335	100
77	339	95
78	343	91
79	348	87
80	352	82
81	356	78
82	361	74
83	366	69
84	370	65
85	375	61
86	379	56
87	383	52
88	387	47
89	392	43
90	397	39
91	401	34
92	405	30
93	409	26
94	413	21
95	417	17
96	421	13
97	426	8
98	429	4
99	434	0
